sentences,pos_tags
کراچی اردو پوائنٹ اخبارتازہ ترین این این ئی 08 نومبر2019ءملکی کرنسی مارکیٹوں میں بدھ کوپاکستانی روپ� ,PROPN PROPN NOUN ADJ ADJ PROPN PROPN PROPN PROPN PROPN NOUN NOUN ADP NOUN ADJ NOUN 
کراچیاردو پوائنٹ اخبار تازہ ترین14دسمبر 2014ءگل احمد فلم میں ندیم ملک کے ساتھ کام کرنے کے بعد فلم گھن چ ,PROPN PROPN NOUN ADJ PROPN PROPN PROPN NOUN ADP PROPN NOUN ADP ADP NOUN VERB ADP ADV NOUN VERB PUNCT 
لاہوراردو پوائنٹ اخبارتازہ ترین لائن 17 اپریل2018ء نامور اداکارہ ماڈل ریچل خان نے کہا ہے کہ فلم انڈسٹری ,PROPN PROPN ADJ PROPN NOUN PROPN PROPN ADJ NOUN PROPN PROPN PROPN ADP VERB AUX SCONJ NOUN VERB 
لاہوراردو پوائنٹ اخبارتازہ ترین لائن 11 جنوری2017ءپاکستان اورجنوبی افریقاکی کرکٹ ٹیموں کے مابین ون ڈے ,PROPN PROPN PROPN PROPN NOUN PROPN PROPN PROPN PROPN NOUN NOUN ADP ADP NOUN VERB 
قائد اعظم ٹرافی کے تیسرے رانڈ کے چوتھے دن سنٹرل پنجاب کی دوسری اننگز میں بلوچستان نے ایک سو ا ,NOUN PROPN NOUN ADP ADJ NOUN ADP ADJ NOUN PROPN PROPN ADP ADJ NOUN ADP NOUN ADP NUM NUM PUNCT 
اسلام باد اردو پوائنٹ اخبارتازہ ترین اے پی پی 22 جون2020ء اداکارہ یشما گل کا نیا برائیڈل فوٹو شوٹ جاری ک ,PROPN PROPN PROPN NOUN ADJ ADJ PROPN PROPN PROPN PROPN PROPN NOUN PROPN PROPN ADP ADJ NOUN NOUN NOUN ADJ VERB 
لاہورکامرس رپورٹر سارک چیمبر کامرس اینڈ انڈسٹری کے نائب صدر افتخار علی ملک نے جنوبی ایشیا کی ب ,NOUN NOUN PROPN PROPN PROPN PROPN PROPN ADP NOUN NOUN PROPN PROPN PROPN ADP PROPN PROPN VERB VERB 
لاہورکامرس رپورٹرچیئرمین برائلر گوشت اور دالوں کی درمد میں رکاوٹیں ڈالنے کے لئے فوری اقدامات ک ,NOUN ADJ NOUN NOUN CCONJ NOUN ADP NOUN ADP NOUN VERB ADP ADP ADJ NOUN PUNCT 
ڈربن اردو پوائنٹ اخبارتازہ ترین اے پی پی 19 جنوری2020ء جنوبی افریقہ اور نیوزی لینڈ کی کرکٹ ٹیموں � ,PROPN PROPN PROPN ADJ ADJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN ADP NOUN NOUN PUNCT 
لاہور کلچرل رپورٹر معروف فلمساز ہدایتکار مسعود بٹ نے اپنی نئی ڈرامہ سیریل عہد وفا کی ریکارڈنگ م� ,PROPN NOUN NOUN ADJ NOUN PROPN PROPN PROPN ADP PRON ADJ NOUN NOUN NOUN PROPN ADP NOUN VERB 
لاہوراردو پوائنٹ تازہ ترین اخبار8نومبر2019ء ئی سی سی کی جانب سے ٹی ٹونٹی کرکٹ کی ٹاپ ٹیموں میں شمول ,PROPN PROPN ADJ ADJ PROPN PROPN PROPN PROPN ADP ADP ADP PROPN PROPN PROPN ADP NOUN NOUN ADP VERB 
لاہور کامرس رپورٹر میاں چنوں صنعتکار نے مسلسل چوتھے کاروباری دن کے دوران لاہور میں افسران کی سہولت ,PROPN PROPN NOUN PROPN PROPN PROPN ADP ADJ ADJ ADJ NOUN ADP ADP PROPN ADP NOUN ADP NOUN 
لاہور کامرس رپورٹر انسپکٹر جنرل پنجاب اور پاکستان ٹریڈرز ایسوسی ایشن کے تعاون سے تین روزہ انٹرن� ,PROPN PROPN NOUN NOUN NOUN PROPN CCONJ PROPN PROPN PROPN PROPN ADP NOUN ADP NUM ADJ NOUN 
